Id,Label,Role,Kingdom,Class,Order,Family,Genus
494,Mink Frog,[Species],Animal,Amphibia,Anura,Ranidae,Lithobates
495,Moss Campion,[Species],Plant,Magnoliopsida,Caryophyllales,Caryophyllaceae,Silene
497,Northern Groundcone,[Species],Plant,Magnoliopsida,Lamiales,Orobanchaceae,Boschniakia
498,Common Monkey-flower,[Species],Plant,Magnoliopsida,Lamiales,Phrymaceae,Erythranthe
499,Yellow Monkey Flower,[Species],Plant,Magnoliopsida,Lamiales,Phrymaceae,Erythranthe
502,Puijila Darwini,[Species],Animal,Mammalia,Carnivora,Semantoridae,Puijila
503,Ursus Abstrusus,[Species],Animal,Mammalia,Carnivora,Ursidae,Protarctos
504,Eastern Floater,[Species],Animal,Bivalvia,Unionida,Unionidae,Pyganodon
506,Moose,[Species],Animal,Mammalia,Artiodactyla,Cervidae,Alces
508,Mule Deer,[Species],Animal,Mammalia,Artiodactyla,Cervidae,Odocoileus
509,White-tailed Deer,[Species],Animal,Mammalia,Artiodactyla,Cervidae,Odocoileus
510,Coyote,[Species],Animal,Mammalia,Carnivora,Canidae,Canis
512,American Bison,[Species],[Animal],[Mammalia],[Artiodactyla],[Bovidae],[Bison]
513,Mountain Lion,[Species],Animal,Mammalia,Carnivora,Felidae,Puma
514,Fisher,[Species],Animal,Mammalia,Carnivora,Mustelidae,Pekania
515,Wapiti,[Species],Animal,Mammalia,Artiodactyla,Cervidae,Cervus
519,Zebra Mussel,[Species],Animal,Bivalvia,Myida,Dreissenidae,Dreissena
520,Hypacrosaurus Altispinus,[Species],Animal,Dinosauriformes,Ornithischia,Hadrosauridae,Hypacrosaurus
521,Panoplosaurus Mirus,[Species],Animal,Dinosauriformes,Ornithischia,Nodosauridae,Panoplosaurus
522,Lambeosaurus Lambei,[Species],Animal,Dinosauriformes,Ornithischia,Hadrosauridae,Lambeosaurus
523,Anodontosaurus Lambei,[Species],[Animal],[Dinosauria],[Ornithischia],[Ankylosauridae],[Anodontosaurus]
524,Gryposaurus Notabilis,[Species],Animal,Dinosauriformes,Ornithischia,Hadrosauridae,Gryposaurus
525,Leidyosuchus Canadensis,[Species],Animal,Reptilia,Crocodylia,Alligatoroidea,Leidyosuchus
526,Caenagnathus Collinsi,[Species],Animal,Dinosauriformes,Avetheropoda,Caenagnathidae,Caenagnathus
527,Leidyosuchus Accutidentatus,[Species],Animal,Reptilia,Crocodylia,Alligatoroidea,Leidyosuchus
528,Daspletosaurus Torosus,[Species],Animal,Dinosauriformes,Avetheropoda,Tyrannasauridae,Daspletosaurus
529,Megacerops Coloradensis,[Species],Animal,Mammalia,Perissodactyla,Brontotheriidae,Megacerops
530,Aspideretoides Foveatus,[Species],[Animal],[Reptiliia],[Testudines],,[Aspideretoides]
531,Platysomus Canadensis,[Species],Animal,Actinopterygii,Palaeonisciformes,Platysomidae,Platysomus
532,Gorgosaurus Libratus,[Species],Animal,Dinosauriformes,Saurischia,Tyrannosauridae,Gorgosaurus
533,Albertosaurus Sarcophagus,[Species],[Animal],[Dinosauria],[Avetheropoda],[Tyrannosauridae],[Albertosaurus]
534,Ankylosaurus Magniventris ,[Species],[Animal],[Dinosauria],[Ornithischia],[Ankylosauridae],[Ankylosaurus]
535,Hylopus Hardingi,[Species],,,,,
536,Lambeosaurus Clavinitialis,[Species],Animal,Dinosauriformes,Ornithischia,Hadrosauridae,Lambeosaurus
537,Corythosaurus Intermedius,[Species],Animal,Dinosauriformes,Ornithischia,Hadrosauridae,Corythosaurus
538,Edmontosaurus Regalis,[Species],Animal,Dinosauriformes,Ornithischia,Hadrosauridae,Edmontosaurus
539,Cheneosaurus Tolmanensis,[Species],Animal,Dinosauriformes,Ceratosauria,Abelisauridae,Chenanisaurus
540,Champsosaurus Natator,[Species],Animal,Reptilia,Choristodera,,Champsosaurus
541,Saurolophus Osborni,[Species],Animal,Dinosauriformes,Ornithischia,Hadrosauridae,Saurolophinae
543,Centrosaurus apertus,[Species],Animal,Dinosauriformes,Ornithischia,Ceratopsidae,Centrosaurus
544,Mastodon,[Species],Animal,Mammalia,Proboscidea,Mammutidae,Mammut
545,Styracosaurus Albertensis,[Species],Animal,Dinosauriformes,Ornithischia,Ceratopsidae,Styracosaurus
546,Brachylophosaurus Canadensis,[Species],Animal,Dinosauriformes,Ornithischia,Hadrosauridae,Brachylophosaurus
547,Anchiceratops Longirostris,[Species],[Animal],[Dinosauria],[Ornithischia],[Ceratopsidae],[Anchiceratops]
548,Chasmosaurus Belli,[Species],Animal,Dinosauriformes,Ornithischia,Ceratopsidae,Chasmosaurus
549,Hemipsalodon Grandis,[Species],Animal,Mammalia,Hyaenodonta,Hyaenodontidae,Hemipsalodon
550,Leptoceratops Gracilis,[Species],Animal,Dinosauriformes,Ornithischia,Leptoceratopsidae,Leptoceratops
551,Corythosaurus Casuarius,[Species],,,,,
552,Prosaurolophus Maximus,[Species],Animal,Dinosauriformes,Ornithischia,Hadrosauridae,Prosaurolophus
553,Ischnacanthus Gracilis,[Species],Animal,Acanthodii,Ischnacanthiformes,Ischnacanthidae,Ischnacanthus
554,Mallotus Villosus,[Species],Animal,Actinopterygii,Osmeriformes,Osmeridae,Mallotus
555,Edmontosaurus Saskatchewanensis,[Species],Animal,Dinosauriformes,Ornithischia,Hadrosauridae,Edmontosaurus
556,Eusthenopteron Foordi,[Species],Animal,Eotetrapodiformes,,Tristichopteridae,Eusthenopteron
557,Stegoceras Validum,[Species],Animal,Dinosauriformes,Ornithischia,Pachycephalosauridae,Stegoceras
558,Aquilopiscis Wilsoni,[Species],[Animal],[Actinopterygii],[Crossognathiformes],[Pachyrhizodontidae],[Aquilopiscis]
559,Albertosaurus Libratus,[Species],[Animal],[Dinosauria],[Avetheropoda],[Tyrannosauridae],[Gorgosaurus]
560,Amyzon Aggregatum,[Species],[Animal],[Actinopterygii],[Cypriniformes],[Catostomidae],[Amyzon]
561,Eodelphis Cutleri,[Species],Animal,Mammalia,,Stagodontidae,Eodelphis
562,Archaeotherium Mortoni,[Species],[Animal],[Mammalia],[Artiodactyla],[Entelodontidae],[Archaeotherium]
563,Allan G. Austin,[Creator],,,,,
565,Northern Flicker,[Species],Animal,Aves,Piciformes,Picidae,Colaptes
567,Cattle Egret,[Species],Animal,Aves,Pelecaniformes,Ardeidae,Bubulcus
568,Eastern Bluebird,[Species],Animal,Aves,Passeriformes,Turdidae,Sialia
569,Meadow Jumping Mouse,[Species],Animal,Mammalia,Rodentia,Zapodidae,Zapus
570,Cedar Waxwing,[Species],Animal,Aves,Passeriformes,Bombycillidae,Bombycilla
571,Chipping Sparrow,[Species],Animal,Aves,Passeriformes,Passerellidae,Spizella
572,Brown Thrasher,[Species],Animal,Aves,Passeriformes,Mimidae,Toxostoma
573,Yellow Warbler,[Species],Animal,Aves,Passeriformes,Parulidae,Setophaga
574,Great Crested Flycather,[Species],Animal,Aves,Passeriformes,Tyrannidae,Myiarchus
575,House Wren,[Species],Animal,Aves,Passeriformes,Troglodytidae,Troglodytes
576,Orange Honeysuckle,[Species],Plant,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera
577,Wild Honeysuckle,[Species],Plant,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera
578,Western Sword Fern,[Species],Plant,Polypodiopsida,Polyporales,Dryopterioideae,Polystichum
579,Shield Fern,[Species],Plant,Polypodiopsida,Polypodiales,Dryopterioideae,Polystichum
580,Lamb's Lettuce,[Species],Plant,Magnoliopsida,Dipsacales,Caprifoliaceae,Valerianella
581,Red-osier Dogwood,[Species],Plant,Magnoliopsida,Cornales,Cornaceae,Cornus
582,Common Bladderwort,[Species],Plant,Magnoliopsida,Lamiales,Lentibulariaceae,Utricularia
583,Orange Cup Fungus,[Species],Fungus,Agaricomycetes,Agaricales,Amanitaceae,Amanita
584,Yellow Skunk Cabbage,[Species],Plant,Liliopsida,Alismatales,Araceae,Lysichiton
585,Western Skunk Cabbage,[Species],Plant,Liliopsida,Alismatales,Araceae,Lysichiton
586,Redstem Filaree,[Species],Plant,Magnoliopsida,Geraniales,Geraniaceae,Erodium
587,Common Storks-bill,[Species],Plant,Magnoliopsida,Geraniales,Geraniaceae,Erodium
588,Douglas' Grasswidow,[Species],Plant,Liliopsida,Asparagales,Iridaceae,Olsynium
589,Blue-eyed Grass,[Species],Plant,Liliopsida,Asparagales,Iridaceae,Aristea
590,Alpine Marsh Violet,[Species],[Plant],[Magnoliopsida],[Violales],[Violaceae],[Viola]
591,Douglas' Hawthorn,[Species],Plant,Magnoliopsida,Rosales,Rosaceae,Crataegus
592,Western Hawthorn,[Species],Plant,Magnoliopsida,Rosales,Rosaceae,Crataegus
593,North American Beaver,[Species],[Animal],Mammalia,Rodentia,Castoridae,Castor
594,Muskrat,[Species],Animal,Mammalia,Rodentia,Cricetidae,Ondatra
595,Redwing Blackbird,[Species],Animal,Aves,Passeriformes,Icteridae,Agelaius
596,White Admiral Butterfly,[Species],Animal,Insecta,Lepidoptera,Nymphalidae,Limentis
597,Forest Tent Caterpillar Moth,[Species],Animal,Insecta,Lepidoptera,Lasiocampidae,Malacosoma
598,Green Frog,[Species],Animal,Amphibia,Anura,Ranidae,Lithobates
599,American Toad,[Species],[Animal],[Amphibia],[Anura],[Bufonidae],[Anaxyrus]
600,American Bittern,[Species],[Animal],[Aves],[Pelecaniformes],[Ardeidae],[Botaurus]
601,Common Buckthorn,[Species],Plant,Magnoliopsida,Rosales,Ramnaceae,Rhamnus
602,American Black Duck,[Species],[Animal],[Aves],[Anseriformes],[Anatidae],[Anas]
603,Eastern Smooth Green Snake,[Species],Animal,Reptilia,Squamata,Colubridae,Opheodrys
604,Shagbark Hickory,[Species],Plant,Magnoliopsida,Fagales,Juglandaceae,Carya
605,Banded Woollybear Caterpillar,[Species],Animal,Insecta,Lepidoptera,Erebidae,Pyrrharctia
606,Wood Frog,[Species],Animal,Amphibia,Anura,Ranidae,Lithobates
607,White Underwing Moth,[Species],Animal,Insecta,Lepidoptera,Hepialidae,Abantiades
608,Aborted Entoloma,[Species],[Fungi],[Agaricomycetes],[Agaricales],[Entolomataceae],[Entoloma]
609,Subetic Lousewort,[Species],Plant,Magnoliopsida,Lamiales,Orobanchaceae,Pedicularis
610,Small-flowered Anemone,[Species],Plant,Magnoliopsida,Ranunculales,Ranunculaceae,Anemone
611,Mountain Sorrel,[Species],Plant,Magnoliopsida,Caryophyllales,Polygonaceae,Rumex
612,Rocky Mountain Pussytoes,[Species],Plant,Magnoliopsida,Asterales,Asteraceae,Antennaria
613,Mountain Death Camas,[Species],Animal,Liliopsida,Liliales,Melanthiaceae,Anticlea
614,Kotzebue's Grass of Parnassus,[Species],Plant,Magnoliopsida,Celastrales,Celastraceae,Parnassia
615,Sweet-flowered Fairy Candelabra,[Species],Plant,Magnoliopsida,Ericales,Primulaceae,Androsace
617,Snow Arnica,[Species],Plant,Magnoliopsida,Asterales,Asteraceae,Arnica
618,Boreal Wormwood,[Species],Plant,Magnoliopsida,Asterales,Asteraceae,Artemisia
619,Forked Wormwood,[Species],Plant,Magnoliopsida,Asterales,Asteraceae,Artemisia
621,Elegant Indian Paintbrush,[Species],Plant,Magnoliopsida,Lamiales,Orobanchaceae,Castilleja
622,Common Redpoll,[Species],Animal,Aves,Passeriformes,Fringillidae,Acanthis
623,Fragile Fern,[Species],Plant,Polypodiopsida,Polypodiales,Cystopteridaceae,Cystopteris
624,Variegated Scouring-Rush,[Species],Plant,Polypodiopsida,Equisetales,Equisetaceae,Equisetum
625,Beautiful Cottongrass,[Species],Plant,Liliopsida,Poales,Cyperaceae,Eriophorum
626,Small-flowered Wallflower,[Species],Plant,Magnoliopsida,Brassicales,Brassicaceae,Erysimum
627,Wild Blue Flax,[Species],Plant,Magnoliopsida,Malpighiales,Linaceae,Linum
628,Elegant Stitchwort,[Species],Plant,Magnoliopsida,Caryophyllales,Caryophyllaceae,Sabulina
629,One-sided Wintergreen,[Species],Plant,Magnoliopsida,Ericales,Ericaceae,Orthilia
630,Arctic Locoweed,[Species],[Plant],[Magnoliopsida],[Fabales],[Fabaceae],[Oxytropis]
631,Late Yellow Locoweed,[Species],Plant,Magnoliopsida,Fabales,Fabaceae,Oxytropis
632,Northern Groundsel,[Species],Plant,Magnoliopsida,Asterales,Asteraceae,Senecio
634,Labrador Lousewort,[Species],Plant,Magnoliopsida,Lamiales,Orobanchaceae,Pedicularis
635,Blackish Locoweed,[Species],Plant,Magnoliopsida,Fabales,Fabaceae,Oxytropis
636,Common Butterwort,[Species],Plant,Magnoliopsida,Lamiales,Lentibulariaceae,Pinguicula
637,White-water Buttercup,[Species],Plant,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus
638,Alaska Willow,[Species],[Plant],[Equisetopsida],[Malpighiales],[Salicaceae],[Salix]
639,Halberd Willow,[Species],Plant,Magnoliopsida,Malpighiales,Salicaceae,Salix
640,Small Black-tip Ragwort,[Species],Plant,Magnoliopsida,Asterales,Asteraceae,Senecio
641,Multi-rayed Goldenrod,[Species],Plant,Magnoliopsida,Asterales,Asteraceae,Solidago
642,Horned Dandelion,[Species],Plant,Magnoliopsida,Asterales,Asteraceae,Taraxacum
643,Pygmy Aster,[Species],Plant,Magnoliopsida,Asterales,Asteraceae,Symphyotrichum
644,Salt-marsh Starwort,[Species],Plant,Magnoliopsida,Caryophyllales,Caryophyllaceae,Stellaria
645,Equms Sevtti,[Species],Animal,Mammalia,Perissodactyla,Equidae,Equus
647,Basilemys Variolosa,[Species],Animal,Reptilia,Testudines,Nanhsiungchelyidae,Basilemys
648,Pnoplosaurus Mirus,[Species],Animal,Dinosauriformes,Ornithischia,Nodosauridae,Panoplosaurus
649,Entelodon Magnus,[Species],Animal,Mammalia,Artiodactyla,Entelodontidae,Entelodon
650,Elasmosaurus Platyurus,[Species],Animal,Reptilia,Plesosauria,Elasmosauridae,Elasmosaurus
651,Woolly Mammoth,[Species],Animal,Mammalia,Proboscidae,Elephantidae,Mammathus
652,Ichthyosaurus Communis,[Species],Animal,Reptilia,Ichthyosauria,Icthyosauridae,Ichthyosaurus
653,Xiphactinus Audax,[Species],Animal,Actinopterygii,Icthyodectiformes,Ichthyodectidae,Xiphactinus
654,Allosaurus fragilis,[Species],[Animal],[Dinosauria],[Avetheropoda],[Allosauridae],[Allosaurus]
655,Anchisaurus Polyzelus,[Species],[Animal],[Dinosauria],,,[Anchisaurus]
656,Woodchuck,[Species],Animal,Mammalia,Rodentia,Sciuridae,Marmota
657,Bushy-tailed Wood Rat,[Species],Animal,Mammalia,Rodentia,Cricetidae,Neotoma
658,Singing Vole,[Species],Animal,Mammalia,Rodentia,Cricetidae,Microtus
659,Northern Flying Squirrel,[Species],Animal,Mammalia,Rodentia,Sciuridae,Glaucomys
660,Ord's Kangeroo Rat,[Species],Animal,Mammalia,Rodentia,Heteromyidae,Dipodomys
661,Short-tailed Shrew,[Species],Animal,Mammalia,Eulipotyphla,Soricidae,Blarina
662,Gapper's Red-backed Vole,[Species],Animal,Mammalia,Rodentia,Cricetidae,Myodes
663,Hoary Marmot,[Species],Animal,Mammalia,Rodentia,Sciuridae,Marmota
664,Meadow Vole,[Species],Animal,Mammalia,Rodentia,Cricetidae,Microtus
665,Trachodon Mirabilis,[Species],Animal,Dinosauriformes,Ornithischia,Hadrosauridae,Trachodon
667,Gillicus Arcuatus,[Species],Animal,Actinopterygii,Ichthyodectiformers,Saurodontidae,Gillicus
668,Hesperonis Regalis ,[Species],Animal,Dinosauriformes,,Hesperornithidae,Hesperornis
669,Tylosaurus Proriger,[Species],Animal,Reptilia,Squamata,Mosasauridae,Tylosaurus
670,Platecarpus Tympaniticus,[Species],Animal,Reptilia,Squamata,Mosasauridae,Platecarpus
671,Platecarpus Coryphaeus,[Species],Animal,Reptilia,Squamata,Mosasauridae,Platecarpus
672,Toxochelys Latiremis,[Species],Animal,Reptilia,Testudines,,Toxochelys
673,Common Loon,[Species],Animal,Aves,Gaviiformes,Gaviidae,Gavia
674,Common Murre,[Species],Animal,Aves,Charadriiformes,Alcidae,Uria
675,Belted Kingfisher,[Species],Animal,Aves,Coraciiformes,Alcedinidae,Megaceryle
676,Atlantic Puffin,[Species],[Animal],[Aves],[Charadriiformes],[Alcidae],[Fratercula]
677,Slender-Leafed Sundew,[Species],Plant,Magnoliopsida,Caryophyllales,Droseraceae,Drosera
678,Round-leafed Sundew,[Species],Plant,Magnoliopsida,Caryophyllales,Droseraceae,Drosera
679,Yellow Bellied Marmot,[Species],Animal,Mammalia,Rodentia,Sciuridae,Marmota
681,Black Bear,[Species],Animal,Mammalia,Carnivora,Ursidae,Ursus
682,Gray Jay,[Species],Animal,Aves,Passeriformes,Corvidae,Perisoreus
683,Rocky Mountain Bighorn Sheep,[Species],Animal,Mammalia,Artiodactyla,Bovidae,Ovis
684,White-tailed Jack Rabbit,[Species],Animal,Mammalia,Lagomorpha,Leporidae,Lepus
685,Elk,[Species],Animal,Mammalia,Artiodactyla,Cervidae,Cervus
686,Trumpeter Swan,[Species],Animal,Aves,Anseriformes,Anatidae,Cygnus
687,Rocky Mountain Goat,[Species],Animal,Mammalia,Artiodactyla,Bovidae,Oreamnos
688,Black-tailed Deer,[Species],Animal,Mammalia,Artiodactyla,Cervidae,Odocoileius
689,Lady Fern,[Species],Plant,Polypodiopsida,Polypodiales,Athyriaceae,Athyrium
690,Broadleaf Maple,[Species],Plant,Magnoliopsida,Sapindales,Sapindaceae,Acer
691,Pacific Rhododendron,[Species],Plant,Magnoliopsida,Ericales,Ericaceae,Rhododendron
692,Blue Grouse,[Species],Animal,Aves,Galliformes,Phasianidae,Dendragapus
693,Meadow Salsify,[Species],Plant,Magnoliopsida,Asterales,Asteraceae,Tragopogon
695,Star-nose Mole,[Species],Animal,Mammalia,Eulipotyphla,Talpidae,Condylura
696,Townsend's Mole,[Species],Animal,Mammalia,Eulipotyphla,Talpidae,Scapanus
697,Hairy-tailed Mole,[Species],Animal,Mammalia,Eulipotyphla,Talpidae,Parascalops
698,Coast Mole,[Species],Animal,Mammalia,Eulipotyphla,Talpidae,Scapanus
699,Eastern Mole,[Species],Animal,Mammalia,Eulipotyphla,Talpidae,Scalopus
700,Pacific Water Shrew,[Species],Animal,Mammalia,Eulipotyphla,Soricidae,Sorex
701,Least Shrew,[Species],Animal,Mammalia,Eulipotyphla,Soricidae,Sorex
702,Northern Short-tailed Shrew,[Species],Animal,Mammalia,Eulipotyphla,Soricidae,Blarina
703,Cinereus shrew,[Species],Animal,Mammalia,Eulipotyphla,Soricidae,Sorex
704,Arctic Shrew,[Species],[Animal],[Mammalia],[Eulipotyphla],[Soricidae],[Sorex]
705,Long-tailed Shrew,[Species],Animal,Mammalia,Eulipotyphla,Soricidae,Sorex
706,Dusky Shrew,[Species],Animal,Mammalia,Eulipotyphla,Soricidae,Sorex
707,Smoky Shrew,[Species],Animal,Mammalia,Eulipotyphla,Soricidae,Sorex
708,Tundra Shrew,[Species],Animal,Mammalia,Eulipotyphla,Soricidae,Sorex
709,Barren Ground Shrew,[Species],Animal,Mammalia,Eulipotyphla,Soricidae,Sorex
710,North American Opossum,[Species],Animal,Mammalia,Didelphimorphia,Didelphidae,Didelphis
711,North American Water Shrew,[Species],Animal,Mammalia,Eulipotyphla,Soricidae,Sorex
712,North American Pygmy Shrew,[Species],Animal,Mammalia,Eulipotyphla,Soricidae,Sorex
713,Trowbridge Shrew,[Species],Animal,Mammalia,Eulipotyphla,Soricidae,Sorex
715,Indian Cucumber-root,[Species],Plant,Liliopsida,Liliales,Liliaceae,Medeola
716,American Dwarf Birch,[Species],[Plant],[Magnoliopsida],[Fagales],[Betulaceae],[Betula]
717,Hardhack,[Species],Plant,Magnoliopsida,Rosales,Rosaceae,Spiraea
718,Shining Club-moss,[Species],Plant,Lycopodiopsida,Lycopodiales,Lycopodiaceae,Huperzia
719,Steeple Bush,[Species],Plant,Magnoliopsida,Rosales,Rosaceae,Spiraea
720,Meadow Sweet,[Species],Plant,Magnoliopsida,Rosales,Rosaceae,Filipendula
721,Sharp-lobed Liverwort,[Species],Plant,Magnoliopsida,Ranunculales,Ranunculaceae,Hepatica
722,Liverleaf,[Species],Plant,Magnoliopsida,Ranunculales,Ranunculaceae,Hepatica
723,Wood Horsetail Cones,[Species],Plant,Polypodiopsida,Equisetales,Equisetaceae,Equisetum
724,Witch's Butter,[Species],Fungus,Tremellomycetes,Tremellales,Tremellaceae,Tremella
726,Common Polypody,[Species],Animal,Polypodiopsida,Polypodiales,Polypodiaceae,Polypodium
727,Hay-scented Fern,[Species],Plant,Polypodiopsida,Polypodiales,Dennstaedtiaceae,Dennstaedtia
728,Boulder Fern,[Species],Plant,Polypodiopsida,Polpodiales,Aspleniaceae,Asplenium
729,Stout Eelbenny,[Species],Animal,Actinopterygii,Perciformes,Lumpenidae,Anisarchus
730,Bering Wolffish,[Species],Animal,Actinopterygii,,Anarhichadidae,Anarhichas
731,Atlantic Hookear,[Species],[Animal],[Actinopterygii],[Perciformes],[Cottidae],[Artediellus]
732,Atlantic Hagfish,[Species],[Animal],[Myxini],[Myxiniformes],[Myxinidae],[Myxine]
733,Cougar,[Species],Animal,Mammalia,Carnivora,Felidae,Puma
734,Bobcat,[Species],Animal,Mammalia,Carnivora,Felidae,Lynx
735,Grey Wolf,[Species],Animal,Mammalia,Carnivora,Canidae,Canis
736,Giant Beaver,[Species],Animal,Mammalia,Rodentia,Castoridae,Castoroides
737,Turkey Vulture,[Species],Animal,Aves,Cathartiformes,Cathartidae,Cathartes
738,Shortnose Sturgeon,[Species],Animal,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser
739,Cheetah,[Species],Animal,Mammalia,Carnivora,Felidae,Acinonyx
740,Giant Panda,[Species],Animal,Mammalia,Carnivora,Ursidae,Ailuropoda
741,Dovekie,[Species],Animal,Aves,Charadriiformes,Alcidae,Alle
742,Imperial Amazon,[Species],Animal,Aves,Psittaciformes,Psittacidae,Amazona
743,Yellow-spotted Salamander,[Species],Animal,Amphibia,Caudata,Ambystomatidae,Ambystoma
744,Columbian Mammoth,[Species],Animal,Mammalia,Proboscidea,Elephantidae,Mammuthus
745,Bowhead Whale,[Species],Animal,Mammalia,Artiodactyla,Balaenidae,Balaena
746,Sei Whale,[Species],Animal,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera
747,King Penguin,[Species],Animal,Aves,Sphenisciformes,Spheniscidae,Aptenodytes
749,Blue Whale,[Species],Animal,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera
750,Gaur,[Species],Animal,Mammalia,Artiodactyla,Bovidae,Bos
751,Brachiosaurus Althithorax,[Species],Animal,Dinosauriformes,Saurischia,Brachiosauridae,Brachiosaurus
752,American Alligator,[Species],[Animal],[Reptilia],[Crocodillia],[Alligatoridae],[Alligator]
753,Short-faced Bear,[Species],Animal,Mammalia,Carnivora,Ursidae,Tremarctos
754,Archaeopteryx Lithographica,[Species],[Animal],[Dinosauria],,[Archaeopterygidae],[Archaeopteryx]
755,Piping Plover,[Species],Animal,Aves,Charadriiformes,Charadriidae,Charadrius
756,Razorbill,[Species],Animal,Aves,Charadriiformes,Alcidae,Alca
758,Hylonomus Lyelli,[Species],Animal,Reptilia,,Protorothyrididae,Hylonomus
759,Racer,[Species],Animal,Reptilia,Squamata,Colubridae,Coluber
760,Common Raven,[Species],Animal,Aves,Passeriformes,Corvidae,Corvus
761,Bactrian Camel,[Species],[Animal],[Mammalia],[Artiodactyla],[Camelidae],[Camelus]
762,Spotted Hyena,[Species],Animal,Mammalia,Carnivora,Hyaenidae,Crocuta
763,Loggerhead Turtle,[Species],Animal,Reptilia,Testudines,Cheloniidae,Caretta
764,Hooded Seal,[Species],Animal,Mammalia,Carnivora,Phocidae,Cystophora
765,Hadrosaurus Foulkii,[Species],Animal,Dinosauriformes,Ornithischia,Hadrosauridae,Hadrosaurus
766,Golden Eagle,[Species],Animal,Aves,Accipitriformes,Accipitridae,Aquila
767,Blue Shark,[Species],Animal,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace
768,Passenger Pigeon,[Species],Animal,Aves,Columbiformes,Columbidae,Ectopistes
769,Western Camel,[Species],Animal,Mammalia,Artiodactyla,Camelidae,Camelus
770,Yukon Horse,[Species],Animal,Mammalia,Perissodactyla,Equidae,Equus
771,Big Brown Bat,[Species],Animal,Mammalia,Chiroptera,Vespertilionidae,Eptesicus
772,Monarch Butterfly,[Species],Animal,Insecta,Lepidoptera,Nymphalidae,Danaus
773,Common Crow,[Species],Animal,Aves,Passeriformes,Corvidae,Corvus
774,Przewalski's Horse,[Species],Animal,Mammalia,Perissodactyla,Equidae,Equus
775,Grey Whale,[Species],Animal,Mammalia,Artiodactyla,Eschrichtiidae,Eschrichtius
776,Common Green Turtle,[Species],Animal,Reptilia,Testudines,Cheloniidae,Chelonia
777,Green Anaconda,[Species],Animal,Reptilia,Squamata,Boidae,Eunectes
778,Pygmy Hippopotamus,[Species],Animal,Mammalia,Artiodactyla,Hippopotamidae,Choeropsis
779,Boa Constrictor,[Species],Animal,Reptilia,Squamata,Boidae,Boa
780,Euoplocephalus Tutus,[Species],Animal,Dinosauriformes,Ornithischia,Ankylosauridae,Euoplocephalus
781,Opabinia Regalis,[Species],Animal,Dinocaridida,Radiodonta,Opabiniidae,Opabinia
782,Peregrine Falcon,[Species],Animal,Aves,Falconiformes,Falconidae,Falco
783,Galapagos Land Iguana,[Species],Animal,Reptilia,Squamata,Iguanidae,Conolophus
784,Wildebeest,[Species],Animal,Mammalia,Artiodactyla,Bovidae,Connochaetes
785,Giraffe,[Species],Animal,Mammalia,Artiodactyla,Giraffidae,Giraffa
786,Indian Gavial,[Species],Animal,Reptilia,Crocodylia,Gavialidae,Gavialis
787,Brook Leech,[Species],Animal,Clitellata,Rhynchobdellida,Glossiphoniidae,Glossiphonia
788,Carolina Parakeet,[Species],Animal,Aves,Psittaciformes,Psittacidae,Conuropsis
789,Greenland Shark,[Species],Animal,Elasmobranchii,Squaliformes,Somniosidae,Somniosus
790,Whooping Crane,[Species],Animal,Aves,Gruiformes,Gruidae,Grus
791,Pterodaustro Guinazui,[Species],Animal,Reptilia,Pterosauria,Ctenochasmatidae,Pterodaustro
792,Gorilla ,[Species],Animal,Mammalia,Primates,Hominidae,Gorilla
793,Common Carp,[Species],Animal,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus
794,Northern Pike,[Species],Animal,Actinopterygii,Esociformes,Esocidae,Esox
795,Indricotherium Transouralicum,[Species],Animal,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus
796,Hyracotherium Leporinum,[Species],Animal,Mammalia,Perissodactyla,Palaeotheriidae,Hyracotherium
797,Gray Ratsnake,[Species],Animal,Reptilia,Squamata,Colubrinae,Pantherophis
798,Kirtland's Warbler,[Species],Animal,Aves,Passeriformes,Parulidae,Setophaga
799,Ring-tailed Lemur,[Species],Animal,Mammalia,Primates,Lemuridae,Lemur
800,Dromiceiomimus Brevitertius,[Species],Animal,Dinosauriformes,Ornithischia,Ornithomimidae,Ornithomimus
801,Black Lemur,[Species],Animal,Mammalia,Primates,Lemuridae,Eulemur
802,Asian Elephant,[Species],[Animal],[Mammalia],[Proboscidea],[Elephantidae],[Elephas]
803,Sea Otter,[Species],Animal,Mammalia,Carnivora,Mustelidae,Enhydra
804,Kemp's Ridley,[Species],Animal,Reptilia,Testudines,Cheloniidae,Lepidochelys
805,Yak,[Species],Animal,Mammalia,Artiodactyla,Bovidae,Bos
806,Arctic Lemming,[Species],[Animal],[Mammalia],[Rodentia],[Cricetidae],[Dicrostonyx]
807,Northern River Otter,[Species],Animal,Mammalia,Carnivora,Mustelidae,Lontra
808,African Wild Ass,[Species],[Animal],[Mammalia],[Perissodactyla],[Equidae],[Equus]
