Source,Target,Type,Id,Label,timeset,Weight
207,1,Undirected,220,,,1
208,1,Undirected,221,,,1
174,1,Undirected,222,,,1
210,1,Undirected,223,,,1
211,1,Undirected,224,,,1
212,1,Undirected,225,,,1
213,1,Undirected,226,,,1
214,1,Undirected,227,,,1
215,1,Undirected,228,,,1
216,1,Undirected,229,,,1
217,1,Undirected,230,,,1
218,1,Undirected,231,,,1
219,1,Undirected,232,,,1
220,1,Undirected,233,,,1
221,1,Undirected,234,,,1
222,1,Undirected,235,,,1
223,1,Undirected,236,,,1
224,1,Undirected,237,,,1
225,1,Undirected,238,,,1
226,1,Undirected,239,,,1
129,15,Undirected,240,,,1
227,22,Undirected,241,,,1
228,22,Undirected,242,,,1
229,22,Undirected,243,,,1
230,22,Undirected,244,,,1
231,22,Undirected,245,,,1
232,22,Undirected,246,,,1
233,22,Undirected,247,,,1
234,22,Undirected,248,,,1
235,22,Undirected,249,,,1
236,22,Undirected,250,,,1
237,22,Undirected,251,,,1
238,22,Undirected,252,,,1
239,22,Undirected,253,,,1
240,22,Undirected,254,,,1
241,22,Undirected,255,,,1
242,22,Undirected,256,,,1
243,22,Undirected,257,,,1
244,22,Undirected,258,,,1
245,22,Undirected,259,,,1
246,22,Undirected,260,,,1
247,22,Undirected,261,,,1
248,22,Undirected,262,,,1
249,22,Undirected,263,,,1
250,22,Undirected,264,,,1
251,22,Undirected,265,,,1
252,22,Undirected,266,,,1
253,22,Undirected,267,,,1
254,22,Undirected,268,,,1
255,22,Undirected,269,,,1
256,22,Undirected,270,,,1
257,22,Undirected,271,,,1
258,22,Undirected,272,,,1
259,22,Undirected,273,,,1
260,22,Undirected,274,,,1
261,22,Undirected,275,,,1
262,22,Undirected,276,,,1
264,22,Undirected,277,,,1
266,22,Undirected,278,,,1
267,23,Undirected,279,,,1
268,23,Undirected,280,,,1
269,23,Undirected,281,,,1
270,23,Undirected,282,,,1
271,23,Undirected,283,,,1
272,23,Undirected,284,,,1
160,23,Undirected,285,,,1
275,23,Undirected,286,,,1
276,23,Undirected,287,,,1
277,23,Undirected,288,,,1
278,23,Undirected,289,,,1
279,23,Undirected,290,,,1
280,23,Undirected,291,,,1
281,26,Undirected,292,,,1
282,26,Undirected,293,,,1
285,26,Undirected,296,,,1
287,26,Undirected,297,,,1
288,26,Undirected,298,,,1
289,26,Undirected,299,,,1
291,26,Undirected,300,,,1
292,26,Undirected,301,,,1
294,26,Undirected,302,,,1
295,26,Undirected,303,,,1
296,26,Undirected,304,,,1
166,26,Undirected,305,,,1
298,26,Undirected,306,,,1
299,26,Undirected,307,,,1
146,26,Undirected,308,,,1
300,26,Undirected,309,,,1
301,26,Undirected,310,,,1
302,6,Undirected,311,,,1
303,31,Undirected,312,,,1
304,31,Undirected,313,,,1
305,31,Undirected,314,,,1
306,31,Undirected,315,,,1
307,29,Undirected,317,,,1
308,29,Undirected,318,,,1
309,20,Undirected,319,,,1
310,20,Undirected,320,,,1
311,20,Undirected,321,,,1
312,20,Undirected,322,,,1
313,20,Undirected,323,,,1
287,20,Undirected,324,,,1
314,20,Undirected,325,,,1
315,28,Undirected,326,,,1
130,30,Undirected,328,,,1
287,27,Undirected,329,,,1
282,27,Undirected,330,,,1
158,27,Undirected,331,,,1
317,27,Undirected,332,,,1
318,27,Undirected,333,,,1
319,27,Undirected,334,,,1
151,27,Undirected,335,,,1
289,27,Undirected,336,,,1
320,27,Undirected,337,,,1
281,27,Undirected,338,,,1
321,27,Undirected,339,,,1
322,19,Undirected,340,,,1
323,19,Undirected,341,,,1
